amfi_code,Sortino_Ratio
120507,28.983394570464686
120844,26.597183398039288
101208,24.773822215010284
148567,3.139984741629027
120843,3.1045856637907328
119551,2.9781561862958688
148569,2.786281526388347
118632,2.6359467865175756
120505,2.608779086757224
120504,2.6011291988726977
101206,2.5812149008316934
149323,2.481754253726734
100033,2.4031930661557115
119552,2.397213118992199
148568,2.3753206770129918
119120,2.3478437370542458
102885,2.3254836983597023
119094,2.275459379281571
118636,2.192176387511355
119598,2.1335233594752
120503,2.1228797988130172
125497,2.0906917194965513
149324,2.066052692377158
118635,1.994892453759815
118633,1.985391870421149
100025,1.82243203470703
120506,1.816677554325752
102887,1.8136563676908644
120841,1.7050850490693161
149322,1.505866985491652
118634,1.1744118467584455
125498,1.1082885761412054
119093,1.0139771825149029
119092,0.8482795717950138
120842,0.7206568254852878
101207,0.7051694658028345
100016,0.42727585566257165
119599,0.3356039123344623
119095,0.3093314180343893
102886,0.2574241229320304
