amfi_code,Tracking_Error
101208,0.2213150920879752
120507,0.22149373657946775
120844,0.2216756632952541
119120,0.22472249534525843
118636,0.22513351754027816
100025,0.22595900145395134
118635,0.2568047932091111
119092,0.256912538240862
102885,0.2573423144195259
120503,0.25819865326663977
119093,0.25879388756589544
148567,0.2609682010300942
118632,0.2613336596674144
120841,0.2628074520574955
100016,0.263068822043912
118633,0.26402422909214124
120506,0.26514456945040493
119551,0.2653609897615566
149322,0.2676086336735981
101206,0.26808669086236425
119552,0.2683572745894107
102887,0.2705458203015004
120504,0.2708866804799784
148568,0.2720677201217485
120843,0.272123336922513
125497,0.2722420354185332
148569,0.28320545123286556
149323,0.28543311344969224
120842,0.2857160895087305
100033,0.2859205944011043
125498,0.28742966822461413
102886,0.2883996011347966
119094,0.29491352051258607
120505,0.2971413430737606
149324,0.3285233289815249
119599,0.3319198207474593
118634,0.33575491638707466
119095,0.34106526526113673
119598,0.3418922319373387
101207,0.3468988999421289
