amfi_code,Alpha,Beta
119598,0.3151108644721454,-0.047550969597759965
120505,0.29814439463600517,-0.020966386152976926
149324,0.2934532052078788,0.028549997525671302
148569,0.2831148218509518,0.000560436114050659
120843,0.2720365597758032,0.0021596774666808568
149323,0.2684626530458333,-0.009752722181865854
148567,0.2677212170033785,0.010861732566386572
100033,0.2637421064185406,0.03194955596929942
119094,0.25949494004102347,-0.0029285995062783023
119551,0.23773993539556662,-0.025605501536832293
120504,0.222397686524898,-0.037987599835233046
101206,0.2189849873045256,-0.016563232319386202
118632,0.21604529457710409,0.007603852217487014
148568,0.2111019789498633,-0.012155149881301192
119552,0.20739635837062403,-0.036327727771577625
125497,0.188349941347337,-0.03646165192709865
118634,0.17817740763310738,5.404802887021004e-05
102885,0.1718219803462218,-0.007383630916116847
120503,0.17142769619430487,0.01667006892797072
102887,0.16086056100273333,0.00673963243589905
120506,0.15870253497950756,0.01956669856123336
118633,0.15823195814800076,-0.011151545249823315
118635,0.15150439973311333,-0.000706147467961524
149322,0.13691768735105483,-0.020274334415411755
120841,0.13666944329070402,-0.019553507428904705
125498,0.11993295466812817,0.0009034489481717312
101207,0.11969280859137324,-0.04860388402159111
120842,0.08017178058196259,-0.006000994008274443
119093,0.07884415057944709,0.016341279539428398
120507,0.06748011127029044,-0.00012091461430341246
120844,0.06478627941748204,-0.0009232882056709891
119092,0.06266607789218161,0.025307066198651265
101208,0.06068666085089296,0.0006986790252850988
119095,0.057894640724023706,-0.045579881508415555
119120,0.055753059429118075,0.0009871198451448287
118636,0.0509825447193827,-0.0007488711121303098
119599,0.0477843559081996,0.011253156883734346
100025,0.04421373321008338,-0.005192956463615281
100016,0.033057398967407135,0.010024254984698716
102886,0.031052225684034127,-0.012900202466497833
